cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [mL/s],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.00,0,0.127359,1.07,81.664,10.403,45.813,1.8,7.9,-0.00377571,0.001967067,-0.002707809,0.701614,0.801862,0.981664
0.01,0.006703,0.134062,-0.108,81.451,15.499,45.813,1.8,5.3,-0.003225182,0.001723229,-0.006811445,0.696891,0.793648,0.976172
0.02,0.013407,0.140766,-1.251,81.237,25.265,45.813,1.8,3.2,-0.002086145,-0.000403208,-0.01177988,0.688107,0.786257,0.972654
0.03,0.02011,0.147469,0.106,80.811,39.066,44.335,1.8,2.1,0.00230225,-0.005265387,-0.016935046,0.685397,0.792643,0.971775
0.04,0.026813,0.154172,0.756,79.745,51.167,41.872,1.9,1.6,0.003219122,-0.013083088,-0.020648848,0.685536,0.794158,0.961969
0.05,0.033516,0.160875,0.688,82.517,76.433,39.902,2.1,1.1,0.006277375,-0.022343827,-0.022985816,0.682974,0.784965,0.948187
0.06,0.040219,0.167578,0.71,97.442,106.369,39.902,2.4,0.9,0.013833059,-0.030019018,-0.02604608,0.670562,0.780332,0.947286
0.07,0.046922,0.174281,0.753,109.169,120.594,44.828,2.4,0.9,0.021429905,-0.036230372,-0.029175651,0.668687,0.782299,0.942388
0.08,0.053625,0.180984,0.738,111.088,120.806,46.306,2.4,0.9,0.027264869,-0.047303365,-0.033322397,0.665028,0.784726,0.937467
0.09,0.060329,0.187688,0.771,108.956,118.046,46.306,2.4,0.9,0.036781558,-0.058954573,-0.039427656,0.663557,0.783678,0.930309
0.10,0.067032,0.194391,0.76,106.824,114.649,44.335,2.4,0.9,0.047185868,-0.068310965,-0.04489543,0.657916,0.779754,0.922474
0.10,0.073735,0.201094,0.763,106.397,112.738,42.365,2.5,0.9,0.055932292,-0.080805819,-0.050830914,0.649721,0.776904,0.915431
0.11,0.080438,0.207797,0.753,107.463,112.526,40.394,2.7,1.0,0.068424778,-0.093809666,-0.054930115,0.645754,0.774789,0.910959
0.12,0.087141,0.2145,0.731,109.382,113.163,39.409,2.8,1.0,0.078678543,-0.104242916,-0.059739191,0.640635,0.772728,0.904446
0.13,0.093844,0.221203,0.753,110.875,113.588,39.902,2.8,1.0,0.085884593,-0.114887399,-0.06353615,0.636441,0.771967,0.899612
0.14,0.100547,0.227906,0.738,111.728,114.012,40.394,2.8,1.0,0.09507401,-0.125946721,-0.066256452,0.633297,0.771401,0.895184
0.15,0.10725,0.234609,0.735,112.154,113.588,40.394,2.8,1.0,0.105061169,-0.135854503,-0.06770263,0.628923,0.770366,0.892356
0.16,0.113953,0.241312,0.746,113.86,113.375,40.887,2.8,1.0,0.111149448,-0.14340807,-0.069590042,0.625383,0.771372,0.88879
0.17,0.120657,0.248016,0.721,112.794,113.8,40.887,2.8,1.0,0.12072932,-0.151779758,-0.070526323,0.623495,0.771701,0.888129
0.18,0.12736,0.254719,0.738,115.353,114.012,41.38,2.8,1.0,0.129338742,-0.159783273,-0.071058832,0.621732,0.772257,0.881714
0.19,0.134063,0.261422,0.724,116.419,114.012,41.872,2.8,1.0,0.13765948,-0.165179244,-0.071191864,0.619441,0.772908,0.878664
0.20,0.140766,0.268125,0.721,115.992,113.8,40.887,2.8,1.0,0.145068167,-0.169112786,-0.072375664,0.617962,0.773853,0.877757
0.21,0.147469,0.274828,0.731,115.566,113.375,40.394,2.9,1.0,0.152252055,-0.172328063,-0.073310456,0.615444,0.774755,0.876473
0.22,0.154172,0.281531,0.71,117.058,113.588,39.409,3.0,1.0,0.159696614,-0.174456642,-0.074441433,0.614961,0.776376,0.877523
0.23,0.160875,0.288234,0.735,116.845,113.163,38.424,3.0,1.0,0.164266394,-0.1760752,-0.075363111,0.614614,0.778137,0.877279
0.24,0.167578,0.294937,0.713,116.632,112.951,36.454,3.2,1.0,0.169690438,-0.178521402,-0.076251129,0.613612,0.778963,0.878693
