cardiac cycle [%],t abs [s],t [s],ECG [mV],AoP [mmHg],LVP [mmHg],LAD Flow [mL/s],AoP/Flow,Pao/PLV,rad strain,circ strain,long strain,tissue vol ischemic [ml],tissue vol border [ml],tissue vol remote [ml]
0.00,0,0.609984,-0.479,45.63,22.505,5.419,8.420372763,2.027549433,0,0,0,0.598304,0.723902,0.911253
0.01,0.006703,0.616687,0.663,45.416,25.053,5.419,8.380882082,1.812796871,0.001557224,-0.002547865,0.000327836,0.597997,0.724853,0.908605
0.02,0.013407,0.623391,0.628,45.416,28.025,4.926,9.219650832,1.620553078,0.003107778,-0.004526789,0.001075493,0.597999,0.724359,0.905056
0.03,0.02011,0.630094,0.653,45.203,31.847,5.419,8.341575937,1.419380161,0.004255726,-0.007567388,0.00251794,0.597784,0.7221,0.898181
0.04,0.026813,0.636797,0.692,46.056,37.579,5.912,7.790257104,1.225578115,0.004259454,-0.008346141,0.004557371,0.598595,0.716931,0.887337
0.05,0.033516,0.6435,0.699,49.254,44.798,7.389,6.665854649,1.099468726,0.003939633,-0.00784006,0.00683706,0.596709,0.716678,0.887032
0.06,0.040219,0.650203,0.717,51.813,51.38,8.375,6.186626866,1.008427404,0.002877043,-0.008172545,0.009408832,0.594846,0.715978,0.883764
0.07,0.046922,0.656906,0.717,55.864,56.475,9.36,5.968376068,0.989181054,0.000604029,-0.008787442,0.011235293,0.594217,0.717042,0.881519
0.08,0.053625,0.663609,0.706,60.129,61.146,10.838,5.547979332,0.983367677,0.000729024,-0.010518319,0.012297032,0.593354,0.718072,0.878842
0.09,0.060328,0.670312,0.721,63.114,64.543,11.33,5.570520741,0.977859721,0.000693826,-0.014000185,0.012956131,0.593149,0.718308,0.876811
0.10,0.067032,0.677016,0.696,65.886,67.728,12.316,5.349626502,0.972802977,-0.00011066,-0.015955726,0.014008231,0.593568,0.717958,0.874694
0.10,0.073735,0.683719,0.699,68.018,69.639,11.823,5.753023767,0.976722813,0.000312582,-0.019054914,0.015049075,0.588651,0.714693,0.870657
0.11,0.080438,0.690422,0.681,69.937,71.337,11.823,5.915334517,0.980374841,0.001014341,-0.022603919,0.015237871,0.587546,0.711372,0.867254
0.12,0.087141,0.697125,0.674,71.003,72.399,11.823,6.005497759,0.980717966,0.002461814,-0.026506855,0.015474153,0.589289,0.714302,0.864491
0.13,0.093844,0.703828,0.678,71.429,72.611,11.823,6.041529223,0.983721475,0.005460537,-0.030126141,0.015332846,0.587308,0.71395,0.862916
0.14,0.100547,0.710531,0.656,72.282,73.248,12.316,5.868950958,0.986811927,0.00904986,-0.034643841,0.015281952,0.585463,0.71343,0.859035
0.15,0.10725,0.717234,0.674,72.495,73.46,12.316,5.886245534,0.986863599,0.011321644,-0.039683705,0.015264229,0.582562,0.712349,0.856483
0.16,0.113954,0.723938,0.663,72.922,73.673,12.808,5.693472829,0.989806306,0.013841935,-0.044488506,0.014868906,0.580937,0.711756,0.854443
0.17,0.120657,0.730641,0.66,73.135,73.673,12.808,5.710103061,0.99269746,0.017186627,-0.049160564,0.013941943,0.579855,0.711198,0.851124
0.18,0.12736,0.737344,0.667,73.348,73.46,12.808,5.726733292,0.998475361,0.02008519,-0.053954597,0.014040143,0.57783,0.711469,0.849864
0.19,0.134063,0.744047,0.646,73.775,73.673,12.808,5.76007183,1.001384496,0.022257937,-0.058475972,0.014324668,0.575871,0.710565,0.847192
0.20,0.140766,0.75075,0.656,73.988,73.673,12.808,5.776702061,1.004275651,0.023950888,-0.062643298,0.014616561,0.574132,0.710215,0.844574
0.21,0.147469,0.757453,0.638,74.414,73.885,12.808,5.809962523,1.007159775,0.026350987,-0.066832903,0.014236313,0.572153,0.709666,0.842484
0.22,0.154172,0.764156,0.635,74.414,73.885,12.808,5.809962523,1.007159775,0.028894246,-0.071890859,0.012765513,0.570265,0.709182,0.841018
0.23,0.160875,0.770859,0.642,74.414,73.673,13.301,5.594616946,1.010057959,0.031580728,-0.076743576,0.01348908,0.568575,0.708843,0.840048
0.24,0.167578,0.777562,0.621,74.628,73.673,13.301,5.610705962,1.012962686,0.034167818,-0.081487327,0.013827897,0.563862,0.70967,0.838719
0.25,0.174282,0.784266,0.635,74.841,73.673,13.301,5.626719796,1.015853841,0.036617705,-0.085069752,0.013300962,0.56552,0.70777,0.837602
0.26,0.180985,0.790969,0.628,75.054,73.673,13.793,5.441455811,1.018744995,0.038976996,-0.087537111,0.012343744,0.560913,0.7091,0.836357
0.27,0.187688,0.797672,0.635,74.628,73.248,13.301,5.610705962,1.018840105,0.041339284,-0.090489172,0.012551184,0.559069,0.709503,0.836095
0.28,0.194391,0.804375,0.667,74.414,72.823,13.301,5.594616946,1.021847493,0.042835581,-0.093303334,0.010620414,0.557433,0.70913,0.835622
0.29,0.201094,0.811078,0.685,74.201,72.611,12.808,5.793332292,1.021897509,0.044322557,-0.096139766,0.011112963,0.556057,0.709467,0.835307
0.30,0.207797,0.817781,0.753,73.988,72.186,12.808,5.776702061,1.024963289,0.04575505,-0.098488611,0.011294818,0.554318,0.709078,0.834119
0.30,0.2145,0.824484,0.771,73.561,71.762,12.808,5.743363523,1.025068978,0.046741351,-0.101498192,0.01116326,0.552248,0.708528,0.833398
0.31,0.221203,0.831187,0.767,72.922,71.125,12.808,5.693472829,1.025265378,0.047569798,-0.104005461,0.010849306,0.550909,0.708915,0.833871
0.32,0.227907,0.837891,0.746,72.282,70.276,12.316,5.868950958,1.028544596,0.048296821,-0.106513626,0.010494365,0.550022,0.708823,0.833564
0.33,0.23461,0.844594,0.678,71.856,69.639,12.316,5.834361806,1.031835609,0.049038443,-0.109297069,0.010900667,0.549122,0.708652,0.832711
0.34,0.241313,0.851297,0.649,71.003,68.789,11.823,6.005497759,1.032185378,0.050032166,-0.111653996,0.011151604,0.548664,0.708398,0.832336
0.35,0.248016,0.858,0.631,69.937,67.728,11.33,6.172727273,1.032615757,0.050331215,-0.113483076,0.011199465,0.548704,0.708472,0.831293
0.36,0.254719,0.864703,0.642,68.871,66.666,10.838,6.354585717,1.033075331,0.050331066,-0.115285594,0.011390053,0.548136,0.708576,0.830993
0.37,0.261422,0.871406,0.656,68.018,65.392,10.838,6.275881159,1.040157817,0.049670861,-0.116583323,0.012047914,0.54749,0.708518,0.831228
0.38,0.268125,0.878109,0.656,67.165,64.543,10.345,6.492508458,1.04062408,0.047779941,-0.117650111,0.012229088,0.547434,0.708295,0.830457
0.39,0.274828,0.884812,0.678,65.886,62.845,10.345,6.368873852,1.048388893,0.046803641,-0.118340407,0.012523657,0.547631,0.70885,0.830073
0.40,0.281532,0.891516,0.667,65.033,61.571,9.853,6.600324774,1.05622777,0.046231184,-0.118619278,0.013120961,0.547085,0.708506,0.829216
0.41,0.288235,0.898219,0.66,63.753,60.085,9.36,6.811217949,1.06104685,0.045925763,-0.118585691,0.013893005,0.547441,0.708798,0.829666
0.42,0.294938,0.904922,0.674,62.261,58.386,8.867,7.021653321,1.06636865,0.045736543,-0.11897151,0.015063265,0.548475,0.709179,0.829334
0.43,0.301641,0.911625,0.66,60.981,56.9,8.375,7.281313433,1.07172232,0.044114137,-0.120351564,0.014668716,0.548958,0.70999,0.829309
